title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NICS ATHENA] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BIGBEN] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[NCSA DTF] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)"
2010-03-18,91.518826497,82.246091699,80.657914640,66.591417535,0,90.709965460,42.139841467,38.392037491,11.833802083,50.979625000,36.022994486,67.109936388,3.803779762,0.073707886,9.329252113,16.671585286,8.596928711,3.302200928,0
2010-03-19,93.292203234,87.735351576,75.061099607,75.673540061,0,81.102929376,37.641196561,44.070237087,18.192298448,66.778611742,16.944046580,63.930950264,3.749627976,0.099306437,11.205965149,22.697050781,8.547671712,3.387767741,0
2010-03-20,103.888135851,86.616988410,70.193078748,84.403461458,0,81.075132781,38.827702412,38.409002543,18.771507975,63.139571073,16.034686025,63.964446640,0.019308036,0,8.096408214,34.919996745,6.569628499,2.414053277,0
2010-03-21,70.845600586,83.358463383,56.815402996,83.644382726,0,72.784377495,36.124381635,34.054589457,17.422755263,80.187906400,45.565104167,64.822768034,0.012239583,0,7.939832649,15.680696615,7.216446126,2.604169651,0
2010-03-22,89.559498698,80.649442565,70.291757923,82.144999870,0,73.810810566,28.416258918,40.848591125,13.694890137,91.240522727,14.500940399,67.674203104,3.634382440,0.185384115,9.822252917,6.305263672,7.685501709,2.185059950,0
2010-03-23,92.380129666,83.628032352,71.920121166,70.753357422,0,69.053367484,37.632310502,30.352511606,10.209376085,88.892405502,34.822256622,68.315728549,3.319486607,0,8.169950982,16.000722656,7.573042806,1.935818278,0
2010-03-24,100.841603733,85.220032400,57.184856095,68.260996311,0,77.366607098,35.258829623,42.354948850,15.144766981,94.901396232,28.824010773,70.299679060,3.698779762,7.323332520,8.983238393,12.652197266,6.436541748,1.943503961,0
2010-03-25,103.013773329,78.899338769,86.634271933,71.936815148,0,91.646089930,53.300320562,30.951498869,12.834907498,95.377767843,25.668791555,65.732375247,3.440394345,4.056224772,9.125237917,0,7.007204183,1.850338813,0
2010-03-26,103.246616753,71.815345621,78.668246288,82.426791059,0,84.812109999,45.161620220,43.182234276,15.843033312,94.001273026,20.638925018,69.682390481,5.625000000,6.524640096,10.820622500,2.064671224,7.659384359,1.891928440,0
2010-03-27,101.455765516,70.188709144,81.034139455,82.799709939,0,86.133365223,35.493355665,42.955090810,13.005654568,94.985109848,23.444254557,65.107936430,0.023608631,0.065678304,8.334147917,0.896702474,5.818793132,1.922456462,0
2010-03-28,91.040816515,79.713980677,66.382517638,79.251439193,0,73.348821420,29.267281821,34.606898971,10.465986599,88.640575857,24.997278290,66.369646533,0.023355655,0.218605347,9.825992738,0,6.134939372,1.905916748,0
2010-03-29,97.138944227,81.460931863,75.445060432,79.229694271,0,85.036742453,37.952739583,42.076542320,7.221140679,86.341196372,24.711751302,46.962071187,0.272738095,11.687771810,10.904999524,9.855468750,5.473362223,1.672984077,0
