Day,[SDSC TRESTLES] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%),[LONI QUEENBEE] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[SDSC DASH] XSEDE Utilization (%)
2012-02-29,125.090352757,86.592113918,66.953085092,89.212266642,66.917789634,49.528814623,47.138083044,0,65.709877930,18.042837524,0.136732470,2.642035382,6.346930339,0,0
2012-03-01,115.380805925,91.746187018,87.041889244,90.419392904,73.855132723,42.668040255,41.336418547,0,57.263111165,8.600229085,0.090432143,2.694610778,5.652630208,0,0
2012-03-02,121.843739092,92.826819115,34.600970447,74.227872925,79.057947995,45.016198558,51.500755208,0,66.991807454,8.414668579,0.112062500,18.448082975,6.684026693,0,0
2012-03-03,127.875031232,93.462607175,9.007305506,73.929449972,52.156688745,44.686472448,49.229922598,0,58.496753743,7.904970500,0.114798274,39.862542259,5.304684245,0,0
2012-03-04,101.736728682,91.862369127,75.014191743,67.672973226,61.705048047,30.652624405,47.593148148,0,45.153573812,7.597877604,0.003853423,28.819333520,6.695022786,0,0
2012-03-05,94.823648830,94.282508533,107.469748310,80.262150472,76.797036351,35.969528392,77.105774016,9.410833686,52.591932780,8.677101440,0.158723125,23.652694611,0.244791667,0,0
2012-03-06,118.049459188,95.966196389,86.323593226,89.530261536,84.586562328,43.527773481,85.361273872,7.598861954,38.653094482,17.581334839,0.250544494,14.200293865,0,0,0
2012-03-07,112.884898646,48.711448162,51.354513061,84.854722290,82.936669313,55.963416387,81.946453993,9.550565100,38.485035400,31.184407552,0.197433839,10.955619932,1.245514323,0,0
2012-03-08,120.236030621,17.617814792,1.080488520,86.797517090,88.303849152,51.733022758,81.651733218,23.273332109,38.515171712,35.780960897,0.170846875,20.399036926,3.319153646,0,0
2012-03-09,107.042565724,81.735247636,56.686711302,86.888739726,88.728798253,56.031885965,86.300568576,25.663822245,22.509819743,36.260018921,0.049956756,23.529475736,0,0,0
2012-03-10,97.540902927,89.365375478,73.131556348,67.072412313,75.685473659,44.739096386,88.068553964,10.832070147,14.999710286,36.130199382,0.107490387,12.744625281,0.541666667,0,0
2012-03-11,78.317048515,81.499894081,79.790772672,84.070241593,79.578483080,40.424686146,74.424898853,16.826807402,18.971128567,35.280112942,0.186062981,8.625361641,0.429650136,0,0
2012-03-12,125.885656473,94.050895891,62.048859344,84.250908712,86.011259461,32.009483249,64.239964554,28.038666769,42.065419108,19.007559204,1.824811190,18.010238195,2.648580729,0,0
2012-03-13,128.150694559,96.268040700,95.496158532,87.378364054,84.348036163,18.685519025,59.026939381,20.734685127,39.639132080,32.513879801,3.642549048,7.922931949,3.096790365,0,0
2012-03-14,124.586236095,82.860862623,49.229367634,85.585741069,82.396020720,34.462020402,53.885732784,9.356492470,48.230314128,34.115075684,0.507480149,2.498742047,2.209925130,0,0
2012-03-15,131.790596065,93.285919242,0,86.645609538,84.113829124,33.173506322,62.614964554,14.602968885,25.662209066,32.267419637,2.993440804,5.876618326,1.592740885,0,0
2012-03-16,123.940195565,96.627364765,0.375392648,86.767218933,84.854422743,33.127811683,53.897561487,18.185398419,13.897571208,33.573486125,0.233029226,25.001616533,2.595921224,0,0
2012-03-17,130.942993781,94.919754582,30.170060037,84.180793152,86.129024463,45.061200600,60.426002604,18.780570424,9.478876546,27.899205933,0.173083988,22.832276463,2.904514974,0,0
2012-03-18,127.681898975,94.236679839,24.833598072,48.385364990,88.489047594,37.399261851,45.708917824,21.524879291,9.377125244,25.013337199,0.124929256,6.958050851,0.163776042,0,0
2012-03-19,112.560458003,93.608730967,0.088007086,68.200179749,85.556411192,60.541957470,67.018897569,18.684593741,14.505443929,18.806079508,0.031329375,3.075266108,5.265917969,0,0
2012-03-20,114.295850442,92.138361737,38.005950502,34.775261332,85.482528033,67.838658490,76.932256944,16.669638443,6.528139648,15.489800618,0.524244256,6.357159119,3.640771484,0,0
2012-03-21,124.803152844,83.371988253,93.387292641,28.458455505,84.545744887,69.142968283,54.705162760,7.552752510,10.822012533,15.447446493,0.071772321,7.784786209,9.369355469,0,0
2012-03-22,129.115536817,88.223651399,40.583975823,90.440560710,83.193903068,58.200226006,47.306392506,6.744022431,6.343993734,13.065985921,0.333353839,12.702989958,10.925348307,0,0
