Day,[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2014-10-09,83.575125156,96.095853906,63.311320248,46.040720861,62.243379794,46.098506470,64.212541667,0,4.087191377,0,0,0.000000000
2014-10-10,104.564596538,103.500688430,10.379239576,75.785174533,63.678218711,47.693838806,53.688868056,0,21.549382697,0,0,0.000000000
2014-10-11,101.932181208,102.623049361,6.602101210,75.152567387,29.505773753,44.404825439,63.472256944,0,0.331481481,0,0,0.000000000
2014-10-12,107.006125131,87.957751895,14.909348203,65.883430194,59.085630623,50.124918416,64.736760101,0,0,0,0,0.000000000
2014-10-13,103.843637991,97.326782643,13.950621619,69.096074079,65.710490254,44.451633199,102.837366793,0,22.717283912,0,0,0.000000000
2014-10-14,122.104413018,105.457373729,13.048713527,67.732837990,49.117025331,39.457289124,72.643553977,0.003363851,20.297736632,0,0,0.000000000
2014-10-15,118.419314695,101.559087741,22.969766740,92.673109805,50.131584793,44.960837809,86.037808081,0.239493001,34.827777836,0,0,0.000000000
2014-10-16,132.247618933,98.646910820,20.525597268,80.725361093,76.846669725,50.203794556,62.307169508,1.030662028,11.058024711,0,0,0.000000000
2014-10-17,122.794661344,103.859258191,29.043610584,67.891374480,94.036953815,67.375131022,18.434799242,0.000867920,17.808410475,0,0,0.000000000
2014-10-18,99.356406904,88.711070109,10.521974742,82.274626682,91.485856909,79.626225484,44.899463699,0.401927490,0,0,0,0.000000000
2014-10-19,96.017146451,88.466987806,9.318114353,46.877665817,45.484076902,76.948178813,39.687167298,0.781638590,0,0,0,0.000000000
2014-10-20,116.509567442,88.790425444,9.550318543,48.771779754,38.322241556,74.598754985,37.231534407,0.551956787,0.290798611,0,0,0.000000000
2014-10-21,126.113328901,90.159637384,14.509585348,7.576991699,74.045757181,71.750710042,38.881102904,0.002567952,0.665625000,0,0,0.000000000
2014-10-22,125.042827634,101.537119298,15.672773402,79.586468429,93.672164319,67.916802266,53.706035669,0.002314860,4.179835417,0,0,0.000000000
2014-10-23,96.237183091,98.431894972,61.017907746,74.668385688,91.104337713,68.415821025,83.350431187,0.000614827,0,0,0,0.000000000
2014-10-24,105.471694844,98.320814684,41.647527876,84.250017678,90.886201271,69.789632263,78.922576073,0.093750000,0,0,0,0.000000000
2014-10-25,92.809144552,84.205108980,44.787756460,80.290940665,94.345188112,75.329770813,18.247912879,0.000687256,0,0,0,0.000000000
2014-10-26,105.149155483,71.205050594,32.651195183,63.560247907,92.877902068,76.748064982,49.629944760,0.414297282,0,0,0,0.000000000
2014-10-27,108.940586994,71.097504260,66.319418846,46.707707226,91.984085484,81.117720642,54.689464331,0.108877360,0,0,0,0.000000000
2014-10-28,115.928736830,87.725964478,155.029862490,17.218705553,84.684755366,80.434005127,86.562763258,0.730694580,0,0,0,0.000000000
2014-10-29,114.987916403,100.468371263,80.567107181,75.731466394,81.776835444,78.842149455,64.215155303,0.395354411,0,0,0,0.000000000
2014-10-30,92.483227640,96.746951236,54.549365648,71.163054403,94.224756451,73.617852071,73.192884154,3.971100667,0,0,0,0.000000000
