title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[PSC GREENFIELD] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[NICS DARTER] XSEDE Utilization (%)","[SDSC COMET] XSEDE Utilization (%)","[TACC MAVERICK2] XSEDE Utilization (%)","[CCT LSU SUPERMIC] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[OSG] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)"
2015-08-30,0,104.738768956,84.099597692,48.098587072,54.794253144,13.993529040,21.052031944,0,0.000000000,0
2015-08-31,0,104.206363100,87.802723660,79.249743820,56.275355384,28.121545139,24.236127141,0,0.000000000,0
2015-09-01,0,107.671036689,84.053367947,42.623227560,42.551409811,7.725939710,4.600472685,0,0.000000000,0
2015-09-02,0,84.078011498,62.793707226,63.707245586,43.180856779,23.152497475,4.564322917,0,0.000000000,0
2015-09-03,0,84.220025231,40.624271394,80.525256260,47.848130866,55.363460859,3.212770255,0,0.000000000,0
2015-09-04,0,98.069151631,88.998197930,70.855918344,44.340163200,68.871755366,5.943872164,0,0.000000000,0
2015-09-05,0,103.954391308,93.831820489,63.579520443,46.665180707,7.842311869,5.292521991,0,0.000000000,0
2015-09-06,0,107.244366707,89.871893103,27.080274636,28.617212194,10.429345644,9.286352257,0,0.000000000,0
2015-09-07,0,106.383699430,79.581460503,41.332913773,21.015087534,50.385714646,11.652485243,0,0.000000000,0
2015-09-08,0,103.590212059,85.415004856,39.116439541,6.076476678,78.350623737,15.399144734,0,0.000000000,0.000000000
2015-09-09,0,92.283575796,92.142796093,52.390183079,45.632694616,114.915912879,21.331362616,0,0.000000000,0
2015-09-10,2813.992916667,102.363728342,94.351938825,68.861330243,50.905584148,125.393150253,24.749003414,0,0.000000000,0
2015-09-11,3000.000000000,107.509893042,95.148805664,52.610291114,38.044421591,67.133207071,15.491634606,0,0.000000000,0
2015-09-12,3000.000000000,105.269924805,92.831835146,57.785756655,52.924678819,12.434834280,4.904796875,0,0.000000000,0
2015-09-13,3000.000000000,106.298908937,92.607882039,78.941494374,47.306428858,20.086367109,2.240522049,0,0.000000000,0
2015-09-14,3145.850833333,105.187129609,95.702610483,80.024443098,40.445166124,18.019868371,3.847119444,0,0.000000000,0
2015-09-15,5583.038750000,102.225600867,92.568170690,51.084227467,53.074476489,45.004612374,4.330295081,0,0.000000000,0
2015-09-16,8208.194166667,105.148992388,91.633060271,48.312904613,55.833479127,66.739232639,2.592878646,0,0.000000000,0
2015-09-17,6834.722500000,108.244216515,91.243223909,48.678479096,60.599804728,9.763836490,3.643589236,0,0.000000000,0
2015-09-18,8063.628333333,108.676445125,92.377023451,65.002712274,70.515765601,33.438183712,10.111082176,0,0.000000000,0
2015-09-19,5515.156250000,107.928666773,87.787532150,48.504052764,55.159184201,29.963735164,12.291104167,0,0.000000000,0
2015-09-20,484.375000000,100.188812290,88.224780138,60.182819234,45.107129578,3.685447917,8.744746759,0,0.000000000,0
2015-09-21,428.836666667,103.015767173,93.083413529,46.560576310,51.983993966,64.074319444,18.494389699,0,0.000000000,0
2015-09-22,636.840416667,108.220085606,94.971141366,32.761201833,53.447941460,84.628541667,25.369061863,0,0.000000000,0
2015-09-23,1489.792083333,107.328172366,94.094813549,54.602154552,54.778105690,132.901830492,22.614837384,0,0.000000000,0
2015-09-24,10120.625000000,107.784993634,94.941103647,50.377466425,52.261333372,93.417437816,14.965946586,0,0.000000000,0
2015-09-25,11853.732083333,104.568377032,98.399499878,44.244592677,51.289734783,82.522990846,9.499823148,0,0.000000000,0
2015-09-26,10071.718750000,102.866653736,100.964273234,22.182812460,41.993870508,33.555888573,22.689316435,0,0.000000000,0
2015-09-27,11914.340000000,102.992300822,98.310666694,25.591622425,31.172942462,10.924698232,2.939438657,0,0.000000000,0
2015-09-28,13834.479166667,100.099284947,89.845082095,32.073851705,41.539163661,70.835209596,2.704893345,0,0.000000000,0
2015-09-29,11075.416666667,85.798238278,26.656213207,45.142770000,53.691729690,88.772761995,12.730561979,0,0.000000000,0
2015-09-30,11413.906666667,90.492230400,94.776193382,42.616403352,49.493959864,150.638555556,15.845977951,0,0.000000000,0
2015-10-01,10174.842500000,101.094725974,80.658580526,61.999266669,56.244105147,62.385470328,11.584536632,0,0.000000000,0
2015-10-02,11162.552500000,95.725341960,91.358016692,53.830574499,67.144746570,58.871492109,18.779221412,0,0.000000000,0
2015-10-03,10420.642083333,89.795125956,89.035200033,38.569113368,65.950831448,42.541877210,6.414512558,0,0.000000000,0
2015-10-04,14494.166666667,81.889757471,79.789768405,27.148431305,59.073568984,19.912177083,6.749106192,0,0.000000000,0
2015-10-05,11731.666250000,78.173357702,87.600378707,58.111539584,53.461833701,26.627104167,8.896913542,0,0.000000000,0
2015-10-06,6096.806250000,91.774880045,92.756829893,75.905511413,68.939301111,41.163737689,19.199572512,0,0.000000000,0
2015-10-07,6697.221666667,105.851879886,93.517660125,66.063280111,70.227343258,42.227886048,13.334825058,0,0.000000000,0
