Day,[NICS DARTER] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%)
2014-03-06,0,115.915475903,109.482153724,95.361854221,73.982248757,32.979930215,61.225942688,66.248591011,0,17.181274414,2.083306713,0
2014-03-07,0,108.521780214,93.404784426,90.339588555,79.645478220,88.818704068,53.606738892,90.753600172,0,0.381795451,1.750113426,0
2014-03-08,0,62.288104711,69.547296346,67.470925528,22.404360598,30.321148463,50.624584045,35.065828292,0,1.182553711,1.122412616,0
2014-03-09,0,2.000733264,0.880174435,82.026793997,12.713200861,5.485047631,68.972259893,42.888863583,0,5.591065515,1.389507850,0
2014-03-10,0,0,0,83.168875660,14.132646090,40.191931635,60.634109192,70.572105570,0,14.519350382,0.349635995,0
2014-03-11,0,23.106474305,1.226418137,88.142427020,71.655136324,67.897865034,60.989013468,83.346005616,0,10.195809937,1.572542824,0
2014-03-12,0,123.235044815,10.945915375,89.132819951,96.255265250,70.510304619,56.461543579,85.542265189,0,17.694905599,2.086009838,0
2014-03-13,0,111.650465546,87.230769593,90.098371962,96.057370679,87.603214656,59.061627299,89.144916804,0,6.787556763,2.543108507,0
2014-03-14,0,99.718895422,90.994613811,93.523943233,96.061772412,48.102129311,54.468822225,83.539870629,0,12.533094482,2.050800637,0
2014-03-15,0,74.406175940,86.942269689,87.797355812,95.469302300,67.128067988,56.705331319,92.562647381,0,14.940606079,1.973919850,0
2014-03-16,0,67.754161614,80.545777716,81.136023921,95.860426926,77.484105526,56.467646993,78.541008849,0,14.798434855,2.003744792,0
2014-03-17,0,64.473763250,83.722287394,72.880585910,85.553788668,60.780462359,54.988661092,92.089879664,0,9.898943888,1.903481771,0
