Day,[PSC GREENFIELD] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[PSC BRIDGES] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[PSC BRIDGES LARGE] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[Stanford XSTREAM] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2016-04-05,19472.622083333,54.268521355,77.013144378,70.315855003,0,102.710981722,10.210630997,0,52.971350810,0,0.000000000,0
2016-04-06,25674.392500000,85.841684537,80.651474894,79.314735876,0,90.098678054,10.642238636,0,32.703163600,0,0.000000000,0
2016-04-07,18312.274166667,89.161741962,68.409152977,78.202165029,0,46.309691009,19.712997790,0,28.403475579,0,0.000000000,0
2016-04-08,7036.857500000,66.079959551,67.475636208,82.072918179,0,42.417429053,7.769869003,0,43.190416030,0,0.000000000,0
2016-04-09,2815.676666667,48.844347676,66.728726024,81.731142937,0,44.295327927,12.737110480,0,22.835108044,0,0.000000000,0
2016-04-10,1873.350416667,39.108837355,72.974828799,68.569435618,0,80.586837128,9.345328283,0,25.344013426,0,0.000000000,0
2016-04-11,12952.968750000,67.245224227,73.470947148,71.299757537,0,86.324140897,15.103429609,0,39.363046412,0,0.000000000,0.000000000
2016-04-12,18777.084583333,83.245650102,84.595288972,87.681893099,0,96.133534481,16.807502841,0,28.687757176,0,0.000000000,0
2016-04-13,13347.950833333,63.809234485,78.287135860,84.510385233,0,86.130726289,25.391203914,0,21.083182234,0,0.000000000,0
2016-04-14,18333.489583333,77.850177114,81.173009707,88.147994382,0,87.977636599,22.263959596,0,29.004568519,0,0.000000000,0
2016-04-15,14386.892500000,104.576185986,83.262110591,85.685783627,0,76.191443998,17.440357639,0,34.755668171,0,0.000000000,0
2016-04-16,11092.638750000,104.467698615,89.143355876,80.856307740,0,94.511860389,9.842961174,0,20.018923553,0,0.000000000,0
2016-04-17,6523.594166667,91.474820167,78.572743277,81.711974075,0,89.125709791,8.388958649,0,8.990342130,0,0.000000000,0
2016-04-18,8456.440000000,75.413125054,77.522795894,82.111766507,0,82.802489065,20.056467803,0,0,0,0.000000000,0
2016-04-19,15086.770416667,62.412284907,80.407343926,86.312637677,0,48.975309035,22.588313131,0,10.393042882,0,0.000000000,0
2016-04-20,14292.048750000,67.583484487,79.161523130,82.066353456,0,64.643775778,26.062745581,0,16.003880498,0,0.000000000,0
2016-04-21,8368.889583333,83.891758572,72.616211561,84.726954336,0,69.146316119,29.124192866,0,16.383082581,0,0.000000000,0
2016-04-22,6889.392500000,108.483019223,49.971849044,86.882194149,0,12.396458557,27.017798927,0,17.481638889,0,0.000000000,0
2016-04-23,3811.805416667,109.353643929,61.429966589,81.122507624,0,0,15.571181187,0,10.886178646,0,0.000000000,0
2016-04-24,1459.704583333,106.939361767,72.688823423,76.907525440,0,0,10.911914457,0,7.817325694,0,0.000000000,0
2016-04-25,1349.895833333,106.175350912,76.918826185,80.462887391,0,40.148237332,17.292560922,0,12.304446412,0,0.000000000,0
2016-04-26,0,107.519706744,82.208110876,83.515240751,0,62.989739939,22.332385732,0,15.968910648,0,0.000000000,0
2016-04-27,6250.243750000,108.878324116,84.463858579,87.313157809,0,74.750136043,18.164018624,0,16.989168634,0,0.000000000,0
2016-04-28,7876.926666667,109.376987971,75.953489927,88.107556292,0,86.093863643,17.317778725,0,15.735017882,0,0.000000000,0
2016-04-29,6105.347083333,108.372313984,81.602141552,87.909078094,0,77.756125247,10.215803977,0,15.945412211,0,0.000000000,0
2016-04-30,2458.680416667,103.937289118,85.885022045,87.218837152,0,93.992165659,22.530232955,0,21.924119213,0,0.000000000,0
2016-05-01,0,102.958547647,84.827890146,83.963558472,0,78.237731761,19.454106692,0,23.460214178,0,0.000000000,0
2016-05-02,455.451666667,106.437502768,70.899224627,85.280947693,0,92.972064497,11.678889520,0,28.282162905,0,0.000000000,0.000000000
2016-05-03,1701.371666667,106.091758904,14.984360365,86.536870245,0,88.837594239,21.717820707,0,26.651620313,0,0.000000000,0
2016-05-04,6991.023333333,106.830089552,84.796168520,86.659125787,0,80.199549746,30.413668245,0,26.775514294,0,0.000000000,0
2016-05-05,14114.427083333,107.137878514,73.544066121,84.541073137,0,74.331515472,28.317077020,0,37.186786285,0,0.000000000,0
2016-05-06,26180.382083333,107.085440430,77.176263138,80.470484453,0,96.453269336,29.854202336,0,22.905417245,0,0.000000000,0
2016-05-07,15108.611250000,104.646246129,79.792926184,78.709574562,0,101.622283350,15.810202652,0,27.464219907,0,0.000000000,0
2016-05-08,4500.000000000,105.057681242,74.629484515,78.916529117,0,72.991301380,23.318778409,0,15.435043750,0,0.000000000,0
2016-05-09,3113.437500000,106.201392707,78.240049122,82.371529026,0,76.378220758,24.006663510,0,25.246154861,0,0.000000000,0
2016-05-10,10134.149166667,106.424905740,79.400281331,81.602427896,0,67.383369402,24.447863636,0,27.507249884,0,0.000000000,0
2016-05-11,10442.291250000,107.450402733,83.029621383,75.419149424,0,73.069440588,13.521008523,0,22.649759028,0,0.000000000,0
2016-05-12,8628.003333333,105.656147029,78.474318052,78.341473080,0,79.774873988,7.934168245,0,11.638342361,0,0.000000000,0
2016-05-13,9735.398750000,102.272036477,77.815335779,80.782459667,0,99.241205402,10.113267992,0,17.713577083,0,0.000000000,0
2016-05-14,9017.482916667,73.380464269,83.424552305,72.574942069,0,92.865315046,7.818532513,0,16.465843634,0,0.000000000,0
2016-05-15,6579.218333333,63.227459932,79.334964374,75.647054778,0,81.594863445,6.114302715,0,17.533471586,0,0.000000000,0
2016-05-16,8163.715416667,80.175767040,74.211168136,78.848920068,0,83.331230277,12.296332071,0,20.144740220,0,0.000000000,0
2016-05-17,8042.309166667,103.045174660,75.562146747,83.873560494,0,78.892453772,10.387994634,0,14.423893981,0,0.000000000,0
2016-05-18,10132.882500000,107.352313951,82.237253251,85.471374288,0,80.244922455,34.222274621,0,17.084947164,0,0.000000000,0
