Day,[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2015-03-22,50.820745788,95.161389951,0,76.499814615,20.364179924,96.093933141,20.245849711,24.271244850,11.107692871,0.000000000,0.000000000
2015-03-23,75.343291492,95.142842570,0,48.412203398,14.932502210,97.631892430,24.327745463,21.549688079,23.795590820,0.000000000,0.000000000
2015-03-24,95.857706904,92.721039854,0,46.120699744,18.612092803,104.603097443,25.624000549,27.477543056,17.825014648,0.000000000,0.000000000
2015-03-25,105.414095035,95.141519052,0,46.413699679,23.338682134,91.959772342,24.690592448,29.135333102,10.494646810,0.000000000,0.000000000
2015-03-26,89.385816905,96.531802771,0,43.829128935,40.056273674,82.512812603,21.562463582,31.902710301,0.000795898,0.000000000,0.000000000
2015-03-27,104.956993541,96.098416278,0,50.780866461,20.627052083,109.476228999,21.748689168,27.684275405,0.001121419,0.000000000,0.000000000
2015-03-28,81.514677601,98.671760507,0,11.242153977,22.099625000,88.896649776,25.160355225,20.733024711,0.001356201,0.000000000,0.000000000
2015-03-29,66.197826825,98.870265630,0,70.745018668,40.348537247,66.629987530,24.061075846,21.714133102,34.859890544,0.000000000,0.000000000
2015-03-30,75.297325157,74.535614045,0,76.036512683,67.383206755,87.659644028,24.802277629,16.740689352,85.953685710,0.000000000,0.000000000
2015-03-31,94.078824093,15.370148094,0,129.338906178,72.736163826,68.317071472,27.593614502,18.194923495,73.511719157,0.000000000,0.000000000
2015-04-01,78.998116235,93.849256696,0,81.919921551,10.251631313,76.526696612,29.973497111,1.370199942,73.098416341,0.000000000,0.000000000
2015-04-02,94.431193612,95.430284514,0,79.565441557,41.027287563,81.256653772,29.473248800,19.728671586,50.628038330,0.000000000,0
2015-04-03,88.678461742,92.797928693,0,57.326606131,27.257681187,85.858808180,25.480704041,44.151153877,0.001048991,0.000000000,0
2015-04-04,74.693890071,94.694590911,0,49.262315766,41.699635732,73.918745063,25.540341899,50.571412037,0.000976563,0.000000000,0
2015-04-05,69.765010212,93.079891697,0,33.348424371,14.785721907,109.375382817,23.231187337,45.630262905,0.001085205,0.000000000,0
2015-04-06,73.404262799,88.887818766,0,47.252573773,25.743037879,104.102156131,27.948278300,32.196254456,0.001121419,0.000000000,0
2015-04-07,92.643039746,86.675409993,0,67.903896790,4.059939710,80.511702617,24.621007996,26.385664236,0.001157227,0.000000000,0
2015-04-08,107.247718408,87.071764043,0,29.998538825,4.172470960,89.528673391,23.985188700,29.733497338,0.001085205,0.000000000,0
2015-04-09,106.786977295,96.243694309,0,30.443347757,3.573022096,101.911584753,28.804040934,44.981188831,0.000072428,0.000000000,0
2015-04-10,102.535256553,95.336234054,0,59.242457592,5.935798927,95.616862324,27.606833903,56.610458623,0.001193441,0.000000000,0
2015-04-11,91.101036457,90.319415120,0,54.939926659,15.473818182,103.421505560,26.541490479,62.247945602,0.001085205,0.000000000,0
2015-04-12,104.040110074,97.517639409,0,82.430341383,134.568778409,103.049723164,26.374896139,36.883021354,0.001012777,0.000000000,0
2015-04-13,90.220967926,86.212323744,0,84.691563615,73.588209912,99.579125675,24.282498372,43.824746007,0.001121419,0.000000000,0
2015-04-14,99.969728925,89.359757776,0,81.310866209,29.269237374,81.720237406,26.641777445,47.283124363,0.001048991,0.000000000,0
2015-04-15,103.810440563,98.895508351,0,1.865392172,12.605254419,60.393553482,24.060723165,60.125408275,0.000434163,0.000000000,0
2015-04-16,89.428028308,94.520030780,0,32.274366295,11.295297664,60.488737611,25.312178955,38.988490162,0.001121419,0.000000000,0
2015-04-17,103.141489288,91.813625136,0,25.411602210,25.764695076,64.963246057,27.368055115,44.249659259,0.002676595,0.000000000,0
2015-04-18,87.164069042,97.465056939,0,0,28.289492424,47.423955578,26.192061564,46.006272627,0,0.000000000,0
2015-04-19,64.738138316,90.889548548,0,0,6.204317551,27.957676895,26.053525696,45.803276100,0,0.000000000,0.000000000
2015-04-20,79.877296578,70.485042376,0,25.078614252,10.434220328,42.137793830,21.267740682,39.683217593,0.000036214,0.000000000,0
2015-04-21,100.042327876,34.153223823,0,79.545161358,11.204228851,78.101392563,27.658469849,57.513917650,0.000587565,0.000000000,0
2015-04-22,103.538374810,36.983141448,0,45.814923386,21.177556818,57.426088801,27.711692200,46.074594792,0.001157227,0.000000000,0
2015-04-23,106.742986532,92.396405974,0,48.928664034,23.283021149,41.210789494,26.942396647,42.656278935,0.001121419,0.000000000,0
2015-04-24,106.160644566,93.328577872,0,77.931326075,20.839155303,64.110821013,22.889630229,43.858211343,0.001048991,0.000000000,0
2015-04-25,101.564202358,91.354659415,0,95.784047609,21.956439710,59.455521970,21.696904093,56.884783333,0.001085205,0.000000000,0
2015-04-26,93.598485084,91.535247070,0,89.883312903,18.854850694,22.908896823,14.017578125,62.692666493,0.001085205,0.000000000,0
2015-04-27,89.599085918,59.712564580,0,64.626227771,39.265169508,50.358998441,18.033018087,58.156111863,0.001085205,0.000000000,0
2015-04-28,96.310566254,13.081054674,0,75.144839002,36.440849747,26.314056127,26.188345642,78.551456424,0.000940348,0.000000000,0
2015-04-29,104.055783717,94.131901028,0,48.134847527,16.743020202,10.730938775,30.204287008,69.781185706,0.001338298,0.000000000,0
2015-04-30,103.086432062,93.317112314,0,78.668268517,13.715611111,7.023325835,29.256460571,64.299746065,0.001048991,0.000000000,0
2015-05-01,106.998340727,94.345105537,0,47.736863546,13.337331439,0,27.851720479,45.808741725,0.135236003,0.000000000,0
2015-05-02,104.373114842,96.595136687,0,33.386512627,16.770307449,0,33.917593486,42.757056829,0.001048991,0.000000000,0.000000000
2015-05-03,76.117233849,95.926854049,0,30.422162414,16.260398990,0,29.827926229,38.347286516,0.001012777,0.000000000,0
2015-05-04,89.087498094,94.190599885,0,39.490016022,32.799154987,0,27.393418477,35.609101736,0.000325521,0.000000000,0.000000000
2015-05-05,101.014534438,90.813746410,0,45.551354698,45.230482323,0,21.989117330,42.911654456,0.000614827,0.000000000,0.000000000
2015-05-06,100.640439635,91.502958252,0,61.284525011,47.257646465,0,28.750953979,62.783172512,0.001012777,0.000000000,0
2015-05-07,102.156757909,97.731835517,0,64.893959380,40.871405934,0,24.199766235,68.515506134,0.035662842,0.000000000,0.000000000
2015-05-08,91.723690976,94.064595581,0,66.373327175,0.052486742,0,34.234375102,76.627549421,0.035029704,0.000000000,0
2015-05-09,69.037714828,94.800903185,0,92.949509661,0,0,48.928520915,66.002655556,0.000723470,0.000000000,0
2015-05-10,30.574842779,89.248804213,0,38.360387472,13.917543561,0,20.653216146,49.248022685,0.000036214,0.000000000,0
2015-05-11,9.877820990,92.009039619,0.000000000,17.269808073,76.768781881,0,46.765620422,76.776089931,0,0.000000000,0
2015-05-12,10.793238278,91.689388844,0.000000000,72.190121712,68.017992424,0,47.151267395,86.036651042,0,0.000000000,0
2015-05-13,61.182752293,92.641614416,13.670869759,83.909756533,49.482095644,0,43.337126668,71.751266840,0,0.000000000,0
2015-05-14,97.219322346,91.267617508,44.446945647,59.888806440,52.437359848,0,47.152267049,46.698479282,0,0.000000000,0
2015-05-15,100.424406493,71.496145164,68.701834995,65.341608756,79.187815972,0,47.502884725,62.972170833,0,0.000000000,0
2015-05-16,98.302048380,14.581073604,64.333085496,70.534281340,123.302907197,0,44.291703186,28.697006829,0,0.000000000,0
