title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2011-04-06,89.668731854,29.962995730,58.824114546,106.072833116,84.638235558,50.703905848,86.506197374,34.563313599,46.453364665,72.976912269,34.554108836,36.374597564,17.307563070,9.337675998,26.784993490,2.173763428,4.126716309,3.488714193,3.466562173,0.004300595
2011-04-07,97.187010541,65.877588258,99.594160898,91.708189562,85.580415363,52.917218330,48.349793294,45.558263855,30.037900391,38.065117889,27.563829142,36.668546508,23.444119059,7.482710200,5.028392741,3.284570041,5.208847928,0.960504557,2.344047054,0.014382440
2011-04-08,98.796039797,49.450525707,95.710514408,96.056870660,85.482991450,60.138669406,28.496979980,37.699367981,58.993810018,49.224512693,1.533347778,34.854413494,8.904912516,17.209371398,6.132596029,5.028540175,4.321192491,3.546875000,2.332074792,0.016160714
2011-04-09,95.160775525,1.243158499,93.865460856,83.182960069,83.112788999,71.884589775,22.075129666,17.195285441,70.032371012,59.831060067,4.299949341,29.529934036,22.413049316,9.139147396,7.941949056,5.471441243,3.178462185,0,2.285911875,0.015372024
2011-04-10,91.018873559,0,90.486094735,86.668161350,80.229375205,62.786194185,13.820023058,12.036964722,74.771683350,36.667496569,31.894612579,26.348967199,3.655319010,10.678061285,12.419054362,5.804015164,3.487833659,0,2.286701071,0.015290179
2011-04-11,94.255907372,50.511556679,91.235238593,96.889386936,85.340293915,49.039881584,11.976062012,25.673470968,61.658845215,39.603565525,35.675283966,28.624334990,0.770534668,6.800439323,9.536548665,8.443775228,5.609549154,0,2.373269256,0.014553571
2011-04-12,89.942340541,75.364425814,88.726250535,95.986250543,83.919761940,71.247350593,11.966115723,62.933824565,68.660278320,37.519844062,39.238986613,36.138493199,11.610857340,11.200130208,7.428999837,7.492892931,5.570780165,0.333333333,2.883907470,0.011860119
2011-04-13,94.392150538,87.814636391,92.714843868,102.780598958,79.640127727,79.023450475,9.600808919,72.823196920,58.871753947,30.692845013,30.735505269,32.705733424,16.114113770,8.476345269,15.352140299,6.947696669,5.013849284,0.117330729,5.746350893,0.013846726
2011-04-14,95.251305592,118.463500333,95.179153325,107.292974718,85.004628794,61.235420284,8.764166667,76.622264506,53.616848348,55.675324663,17.515046285,31.766706327,8.658981120,8.693516146,17.833984375,8.263698730,4.912191569,0.116608073,3.785952083,0.013928571
2011-04-15,96.029942745,79.783698487,91.615127581,87.546138780,80.530720413,70.439352541,10.925775282,58.665522461,44.486830037,34.189892871,25.329653168,32.452607200,8.825863851,0.472101215,14.103986003,9.180713704,5.763347711,1.858216146,1.263850595,0.012857143
