title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[SDSC TRESTLES] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[GATECH KEENELAND] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[GATECH KIDS] XSEDE Utilization (%)"
2013-02-14,122.707596749,83.606141793,80.297307426,63.100806722,69.132961426,42.686315893,59.166821859,57.771701603,54.643563232,8.452365723,0,1.547133244,0
2013-02-15,90.274468259,102.984909725,90.018512477,78.854271128,70.365107931,56.209578401,58.603999697,55.024821762,62.784450277,5.083414714,0,0.297772560,0
2013-02-16,85.751419604,80.613825662,95.696078581,63.701303693,54.629543660,61.151335129,45.255748888,48.253703574,38.669343262,6.236816203,0,0.293372708,0
2013-02-17,83.069990137,95.811255662,96.709466253,68.712335217,66.282633362,83.854175643,35.324157665,60.330141611,45.238814290,14.107607422,0,0.280674702,0
2013-02-18,114.691214727,71.007519306,94.950602649,66.488073294,73.477118835,58.456706716,57.612046681,60.757870182,5.735767008,5.432174072,0,0.311642113,0
2013-02-19,111.144148892,73.461056970,94.080666177,63.001821583,67.192423096,78.051776259,66.132010362,25.835562535,34.288067627,23.254887288,0,0.223768512,0
2013-02-20,126.721174700,83.992533258,81.703301512,68.332418657,66.094884644,74.304389106,54.650093840,33.578826404,21.544496257,27.515457560,0,0.044907321,0
2013-02-21,113.273879451,103.565503577,22.951751431,51.999168313,49.676154785,74.082574673,68.119189842,52.984366835,16.212836507,19.510068563,0,2.359625565,0
2013-02-22,97.442232740,90.806466338,96.326450738,77.349481787,56.396287842,72.240218987,55.762530572,46.608696867,27.551494954,29.820637817,0,6.839280893,0
2013-02-23,92.066571077,97.721330851,97.181003364,67.065648862,54.907990519,82.370308850,44.384405332,46.531816793,9.885507406,26.983326213,0,1.594929732,0
2013-02-24,56.351548836,81.078813400,96.950612621,82.188255595,52.565755514,87.574832603,50.059372229,52.235425707,8.710395101,8.683598633,0,0.084890863,0
2013-02-25,39.626331076,57.140538833,94.552623056,33.380162999,60.160843709,43.952042199,34.362694114,40.109669128,2.075547689,0.436717936,0,0.432776845,0
2013-02-26,109.644436349,91.020638396,93.237546067,19.584746360,41.349442037,44.282683673,10.575449861,38.939953049,33.659894206,6.820330811,0,4.159578393,0
2013-02-27,91.727975961,100.535609126,97.874505666,74.578222242,46.907031860,67.842250730,62.882832176,48.810830184,31.155734049,5.870433960,0,0.297098393,0
2013-02-28,84.555780951,102.202901040,97.260232880,76.562092225,68.115021871,85.168670297,55.282349700,45.106816968,35.733686930,6.435538127,0,0.290050952,0
2013-03-01,90.583941030,94.943357798,96.165088238,91.805369898,70.276842041,73.895013317,52.182068409,54.254981745,32.427163900,3.399626465,0,0.224007262,0
2013-03-02,68.171371964,84.535264945,96.987939475,92.599574938,62.754909871,84.406175623,41.591105654,51.431241193,25.861418050,3.750488485,0,0.137216250,0
2013-03-03,62.660138051,60.159532316,97.824703721,80.723330510,34.414284058,82.326546323,59.423953324,49.891195117,11.699434408,3.572853394,0,0.145457351,0
2013-03-04,71.982102325,92.982499219,97.850722007,60.003736409,53.095734355,74.522297783,86.219709269,47.579008084,34.038591309,2.344749146,0,0.128032083,0
2013-03-05,66.796242100,94.183649843,95.991436064,83.904458486,68.256335653,78.983072719,60.449226336,46.730262925,30.992811686,7.493824259,0,0.132379405,0
2013-03-06,51.724608112,66.007967301,82.899068601,78.149096726,59.336005859,84.019623284,55.521508581,49.437974932,23.659025472,3.237648519,0,0.063687917,0
2013-03-07,62.320113915,67.313367943,65.888005336,82.384804798,69.227084351,85.961121666,51.654148799,48.510822135,45.267117513,6.126424154,0,0.149641488,0
2013-03-08,54.996591160,66.082085841,94.301699241,79.112955683,68.332257589,82.278119871,57.161901851,41.594494856,17.699661865,5.362503662,0,0.560115655,0
2013-03-09,32.175448438,35.998056261,93.615091773,91.839083972,66.290554301,51.462261383,30.469863842,43.346326113,3.799515381,5.452668254,0,0.142154911,0
2013-03-10,10.959181979,16.978978494,96.218860375,101.339384998,61.440245733,11.744418746,30.651801145,54.039425483,0.151966287,4.069204102,0,0.112869720,0
2013-03-11,50.294701589,54.020159351,97.192882911,76.270586618,43.572414754,9.283459695,52.589217226,50.482318029,13.985568848,5.772804769,0,0.411102351,0
2013-03-12,58.947001993,64.923784872,93.960192079,72.465150466,48.105852763,10.265936218,53.530684769,30.661148050,8.461300049,14.286471761,0,1.269746012,0
2013-03-13,67.842458940,63.175196739,71.796677916,78.165808128,35.473758748,15.072789220,46.775466951,55.857384110,16.748788656,12.482552897,0,0.214825714,0
