title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2010-10-07,92.331726230,91.423922526,87.400547979,85.281428785,68.476594141,45.773437500,58.118982504,14.373132582,21.031195747,43.628202697,0,25.413411255,0.562970378,5.866955431,13.412910156,0,0.642529435,5.388175863,0.071347656,0,0.008430060
2010-10-08,87.847870678,73.765907661,84.690424642,80.523491978,59.763441319,1.909695129,53.082498441,19.024410519,19.658196343,40.759534675,0,37.876686401,0.349826660,5.473700629,33.213974609,0,0.772427054,6.176927897,0.104353570,0,0.012187500
2010-10-09,85.724757198,18.824701063,82.268910716,75.722453918,51.449044314,4.095079193,29.342149061,18.032248507,13.442973633,49.947807292,0,47.126093953,2.346770020,5.387458632,32.563512370,0,0.497176220,4.131282552,0.146491970,0,0.014590774
2010-10-10,95.820797849,17.890576714,84.505220003,77.187344795,45.169880252,51.561333516,14.956131019,12.812167028,2.083502062,42.932801941,0,43.221570841,6.755570475,5.308009033,30.504775391,0,0.493567619,4.363750407,0.075897624,0.000008952,0.014427083
2010-10-11,94.328232676,33.927528754,79.482020562,50.731667024,46.895851649,41.799587758,12.388634918,0.871626598,10.438602973,50.427379923,0,50.198450317,12.937427572,5.079304877,13.277340495,0,0.473087560,4.529750977,0.004392090,0,0.014419643
2010-10-12,91.495749483,10.831199002,83.408815935,33.052348851,58.875149392,30.649594777,22.414613351,1.377991905,19.913695204,43.226825200,0,36.938368123,1.786675618,5.403052029,4.434029948,0,0.627228542,4.300466309,0.041810981,0,0.015416667
2010-10-13,83.419946508,0.356975911,53.127070017,81.428322972,54.865266102,57.842113393,27.868065899,42.617494926,17.736093207,35.288341324,0,39.926671549,0.628254395,6.413548313,32.776477865,0,1.147855595,5.391989339,0.093062609,0.026086833,0.015952381
2010-10-14,97.521527478,1.169710829,85.135575725,87.530081202,53.194108594,41.541313985,32.518116657,45.629695665,19.394838596,34.759185217,0,51.822012533,3.591091309,6.046245117,20.249130859,0,2.473401726,8.735538737,0.080404460,0,0.016331845
2010-10-15,94.985631118,90.660238715,85.030773776,88.920107422,56.419755990,27.270426381,24.962756674,33.056788564,15.652791612,46.481931507,0,45.777818604,10.892541504,6.578554552,5.198929036,0,18.789175536,8.495208740,0.159006348,0,0.011949405
2010-10-16,97.129649361,100.011875000,85.661647774,85.424887331,25.478427734,49.977141215,20.070990051,26.185441804,17.654054905,61.452053796,0,30.145639038,12.211642253,9.742403158,0.803821615,0,2.500782798,4.557593994,0.158044162,0,0.015796131
2010-10-17,92.658220578,102.577371419,85.535599383,74.641254545,52.027959158,12.127296702,28.347750593,26.414323617,20.208061795,46.499951056,0,25.364140218,7.511971842,8.173140869,0,0,1.976375417,3.340703939,0.076152344,0,0.016242560
2010-10-18,64.675472906,85.542546115,86.537979305,86.106919660,57.050487891,22.358362274,30.018274311,27.314282848,23.056122504,44.222786244,0,16.853284709,15.910354818,4.391447754,0.448929036,0,1.821349256,5.512014160,0.105256348,0.038227132,0.011904762
2010-10-19,95.206888621,92.340879991,84.878534728,86.239245433,71.074478212,54.351300252,22.325907248,26.968774321,28.086787109,37.573867651,0,11.231128743,12.508318685,2.520815294,0,0,4.670602917,7.595778809,0.299838596,0.014523112,0.004337798
2010-10-20,95.771658540,85.619393446,84.361160065,84.768904629,67.604201215,46.084418437,32.285655876,28.484569919,27.601387533,38.720562215,0,35.872508545,10.272333984,2.072567139,6.314091797,0,1.032511488,8.207093506,0.430927734,0.050795085,0.015959821
