,[10] Number of Jobs Started,[11] Number of Jobs Started,[12] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[16] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[1] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[22] Number of Jobs Started,[23] Number of Jobs Started,[24] Number of Jobs Started,[25] Number of Jobs Started,[26] Number of Jobs Started,[27] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[2] Number of Jobs Started,[30] Number of Jobs Started,[31] Number of Jobs Started,[32] Number of Jobs Started,[33] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[36] Number of Jobs Started,[37] Number of Jobs Started,[38] Number of Jobs Started,[39] Number of Jobs Started,[3] Number of Jobs Started,[40] Number of Jobs Started,[41] Number of Jobs Started,[42] Number of Jobs Started,[43] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[46] Number of Jobs Started,[47] Number of Jobs Started,[48] Number of Jobs Started,[49] Number of Jobs Started,[4] Number of Jobs Started,[50] Number of Jobs Started,[51] Number of Jobs Started,[52] Number of Jobs Started,[53] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[56] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started,[5] Number of Jobs Started,[60] Number of Jobs Started,[61] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[64] Number of Jobs Started,[65] Number of Jobs Started,[66] Number of Jobs Started,[67] Number of Jobs Started,[68] Number of Jobs Started,[6] Number of Jobs Started,[70] Number of Jobs Started,[71] Number of Jobs Started,[72] Number of Jobs Started,[7] Number of Jobs Started,[8] Number of Jobs Started,[9] Number of Jobs Started
2015-08-21,4.0,0.0,7.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,610.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,273.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,197.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,3.0,1.0,37.0,5.0
2015-08-22,3.0,1.0,12.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,416.0,7.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,176.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,164.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,30.0,16.0
2015-08-23,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,514.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,162.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,133.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,11.0,0.0
2015-08-24,4.0,0.0,13.0,4.0,5.0,6.0,18.0,0.0,8.0,0.0,800.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,333.0,14.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,75.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,4.0,9.0,55.0,6.0
2015-08-25,1.0,0.0,24.0,0.0,1.0,1.0,4.0,7.0,1.0,2.0,755.0,3.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,847.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,82.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,16.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,13.0,27.0,0.0
2015-08-26,23.0,0.0,9.0,1.0,2.0,4.0,41.0,2.0,0.0,3.0,748.0,8.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,260.0,46.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,83.0,7.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,9.0,2.0,,,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,39.0,3.0
2015-08-27,5.0,1.0,17.0,2.0,6.0,0.0,24.0,0.0,0.0,2.0,660.0,27.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,217.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,68.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,3.0,0.0,75.0,4.0
2015-08-28,10.0,4.0,7.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,515.0,16.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,219.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,49.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,49.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,6.0,0.0,45.0,0.0
2015-08-29,40.0,0.0,5.0,0.0,0.0,1.0,17.0,1.0,0.0,1.0,346.0,8.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,153.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,48.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,22.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,7.0,57.0,0.0
2015-08-30,11.0,0.0,13.0,3.0,0.0,0.0,9.0,3.0,3.0,2.0,367.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,158.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,24.0,0.0
2015-08-31,10.0,0.0,7.0,0.0,0.0,5.0,34.0,0.0,0.0,0.0,446.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,4.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,120.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,20.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,2.0,1.0,29.0,1.0
2015-09-01,2.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,601.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,333.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,159.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,7.0,83.0,0.0
2015-09-02,12.0,1.0,3.0,1.0,0.0,0.0,16.0,1.0,1.0,0.0,553.0,12.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,225.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,57.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,14.0,0.0
2015-09-03,6.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,509.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,320.0,15.0,0.0,5.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,16.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,,6.0,0.0,55.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,17.0,12.0
