Core Count,Average Execution Time,Number of Jobs
3600,2.6718575759090908,44.0
3616,nan,2.0
3632,nan,4.0
3680,nan,5.0
3712,nan,1.0
3728,1.4590000000000001,2.0
3760,0.36945,2.0
3776,6.5930277777777775,18.0
3808,0.50346000000000002,5.0
3824,nan,1.0
3840,4.0877670212765969,47.0
3856,nan,2.0
3888,nan,15.0
3904,nan,4.0
3920,nan,1.0
3952,nan,7.0
3968,0.46429411764705886,17.0
3984,0.072179999999999994,5.0
4000,2.5766407034905665,212.0
4016,0.4178,3.0
4032,9.6341954545454556,33.0
4048,0.46020000099999991,10.0
4064,nan,8.0
4080,1.1718825367460315,126.0
4096,2.0695300067272733,4015.0
4608,nan,1.0
6240,nan,1.0
