,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-09-25,2.92973366,3.88408571,1.16545354,0.0,,,2.78677273,3.42698555,5.54823444,,0.0,3.48371346,3.98144817
2015-09-26,9.01942881,4.25650551,1.2009893,0.0,,,16.02333333,9.66005704,5.97423518,,0.0,3.37064783,3.80200178
2015-09-27,7.9948,3.46634682,1.54887602,0.0,,,7.84771111,5.72626777,6.86685129,,0.0,4.22792857,4.1302501
2015-09-28,1.30426944,2.83107267,1.19357041,0.0,,,1.47647302,4.14312503,2.59694377,,0.0,2.13596933,1.80222351
2015-09-29,4.64130704,4.04687577,1.1748052,0.0,,,3.29959259,4.759801,6.38584709,,0.0,2.39604333,1.35980055
2015-09-30,5.35108267,3.14581532,1.36521055,0.0,,,2.39905263,4.93348879,9.11154074,,0.0,5.54515349,5.73569954
2015-10-01,3.58775,3.8708,2.01278635,0.0,,,2.067975,3.74583663,9.84587587,,0.0,2.03155349,4.10129685
2015-10-02,4.73673785,1.92265182,7.85831024,0.0,,,3.35491951,1.65231601,7.912,,0.0,4.6298863,3.37290845
2015-10-03,1.53043571,3.03289608,16.20888462,0.0,,,4.10924231,2.76471184,8.6248556,,0.0,4.02301842,3.62539555
2015-10-04,5.43235957,5.10594804,4.10941395,0.0,,,15.37316,1.90954751,8.3051283,,0.0,2.76732532,4.9656637
2015-10-05,2.75755795,3.1139393,2.96960236,0.0,,,2.25378036,5.85497367,6.3959527,,0.0,3.2737033,3.18043537
2015-10-06,5.62552023,4.81104506,2.27066199,0.0,,,3.33467931,6.38389926,4.06817479,,0.0,4.0236,3.81235517
2015-10-07,3.67798626,4.79929471,0.22859276,0.0,,,1.61611509,4.40981532,4.37310586,,0.0,2.17415274,4.16325826
2015-10-08,2.05382905,3.59304592,0.45915987,0.0,,,4.14682059,2.08096886,3.09068071,,0.0,2.70353117,3.82965844
2015-10-09,3.3217713,3.00756073,2.01821759,0.0,,,13.20985385,5.13356024,4.18505704,,0.0,3.9713156,5.06279444
2015-10-10,5.18893871,3.01586205,2.04693819,0.0,,,5.70458,5.87537087,6.63913333,,0.0,3.47822857,4.1242497
2015-10-11,2.71526452,2.58821081,2.27762719,0.0,,,2.23758,2.50579264,6.89664128,,0.0,3.85601667,4.48641906
